,OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group
0,127,2020-10-18,2021-03-10,562.9135044,Unknown,36.07114,-121.4505,CALPCC,Unknown,US-CA,143.0,Group-5
1,128,2020-05-01,2020-05-15,0.151680183,Unknown,39.55669,-119.5585,NVSFC,Grass,US-NV,,
2,129,2020-08-08,2020-08-20,0.3,Human,33.29384,-110.45,AZPHC,Grass-Shrub,US-AZ,12.0,Group-1
3,130,2020-05-08,2020-05-26,44.30051698,Human,35.87582,-115.2041,NVLIC,Grass-Shrub,US-NV,18.0,Group-2
4,133,2020-08-21,2020-08-22,4.0,Human,44.03513100892858,-103.03603723214285,SDGPC,Grass,US-SD,1.0,Group-1
5,136,2021-03-07,2021-03-09,0.93,Human,34.4559,-114.3719,AZPDC,Unknown,US-AZ,2.0,Group-1
6,139,2020-10-15,2020-12-03,0.1,Human,33.336,-110.4686,AZPHC,Grass,US-AZ,49.0,Group-4
7,141,2020-12-24,2020-12-30,1.0,Human,34.89249,-95.26115,ARAOC,Timber,US-OK,6.0,Group-1
8,142,2021-03-20,2021-04-16,1.0,Human,34.60244,-98.68604,ARAOC,Grass,US-OK,27.0,Group-2
9,144,2020-08-27,2020-09-11,0.8,Natural,46.14511,-114.0459,MTBRC,Grass-Shrub,US-MT,15.0,Group-2
10,145,2020-09-15,2020-09-15,4.0,Human,42.407211,-71.382437,NHNEC,Grass,US-MA,0.0,Group-1
11,148,2020-10-17,2020-11-13,3496.26613,Human,40.2339,-111.6577,UTNUC,Unknown,US-UT,27.0,Group-2
12,150,2020-08-18,2020-09-01,51576.74401,Natural,40.14235,-123.0594,CATGCC,Brush,US-CA,,
13,152,2020-08-06,2020-08-10,4.86,Natural,44.4773,-118.8608,ORJDCC,Unknown,US-OR,4.0,Group-1
14,153,2020-10-18,2020-11-01,10133.955,Unknown,36.27003,-105.3278,NMTDC,Unknown,US-NM,,
15,157,2020-06-14,2020-06-22,4.0,Human,46.54078550264553,-108.37487790476183,MTNCA,Timber,US-MT,8.0,Group-1
16,159,2020-08-30,2020-11-19,26751.75554,Unknown,38.64249,-119.5275,NVSFC,Unknown,US-CA,81.0,Group-5
17,163,2020-08-19,2020-08-21,4.0,Human,44.78692,-119.0711,ORJDCC,Unknown,US-OR,2.0,Group-1
18,167,2021-03-09,2021-03-09,0.1,Human,34.91935,-95.1033,ARAOC,Unknown,US-OK,0.0,Group-1
19,168,2020-09-25,2020-10-09,124.5232842,Unknown,41.03678,-107.5355,WYCPC,Grass-Shrub,US-WY,,
20,170,2020-08-08,2020-08-10,4.0,Human,44.758333,-119.100556,ORJDCC,Unknown,US-OR,2.0,Group-1
21,173,2021-01-29,2021-01-30,16.5,Human,44.38801,-108.9772,WYCDC,Grass-Shrub,US-WY,1.0,Group-1
22,174,2020-06-16,2020-06-18,4.0,Human,35.62577,-97.99472,ARAOC,Grass,US-OK,2.0,Group-1
23,182,2020-08-17,2020-08-20,4.0,Natural,44.47685,-119.218,ORJDCC,Unknown,US-OR,3.0,Group-1
24,183,2020-04-20,2020-04-22,0.025794,Human,42.10453,-112.9403,IDEIC,Grass-Shrub,US-ID,2.0,Group-1
25,186,2020-07-05,2020-07-19,5513.187585,Unknown,37.023934,-121.513722,CASCCC,Unknown,US-CA,,
