OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group,Address
127,10/18/2020,3/10/2021,562.9135044,Unknown,36.07114,-121.4505,CALPCC,Unknown,US-CA,143,Group-5,"Monterey County, California, United States"
128,5/1/2020,5/15/2020,0.151680183,Unknown,39.55669,-119.5585,NVSFC,Grass,US-NV,,,"28, I 80, Patrick, Washoe County, Nevada, 89434, United States"
129,8/8/2020,8/20/2020,0.3,Human,33.29384,-110.45,AZPHC,Grass-Shrub,US-AZ,12,Group-1,"2, West la Bamba, Graham County, Arizona, 85542, United States"
130,5/8/2020,5/26/2020,44.30051698,Human,35.87582,-115.2041,NVLIC,Grass-Shrub,US-NV,18,Group-2,"Clark County, Nevada, United States"
133,8/21/2020,8/22/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,1,Group-1,"Pennington County, South Dakota, United States"
136,3/7/2021,3/9/2021,0.93,Human,34.4559,-114.3719,AZPDC,Unknown,US-AZ,2,Group-1,"981, Beachcomber Boulevard, Lake Havasu City, Mohave County, Arizona, 86403, United States"
139,10/15/2020,12/3/2020,0.1,Human,33.336,-110.4686,AZPHC,Grass,US-AZ,49,Group-4,"Powerline Road, Gila County, Arizona, 85542, United States"
141,12/24/2020,12/30/2020,1,Human,34.89249,-95.26115,ARAOC,Timber,US-OK,6,Group-1,"Blue Mountain Road, Latimer County, Oklahoma, 74578, United States"
142,3/20/2021,4/16/2021,1,Human,34.60244,-98.68604,ARAOC,Grass,US-OK,27,Group-2,"991, Post Oak Road, Comanche County, Oklahoma, 73552, United States"
144,8/27/2020,9/11/2020,0.8,Natural,46.14511,-114.0459,MTBRC,Grass-Shrub,US-MT,15,Group-2,"Ravalli County, Montana, United States"
145,9/15/2020,9/15/2020,4,Human,42.407211,-71.382437,NHNEC,Grass,US-MA,0,Group-1,"991, Concord Road, North Sudbury, Sudbury, Middlesex County, Massachusetts, 01776, United States"
148,10/17/2020,11/13/2020,3496.26613,Human,40.2339,-111.6577,UTNUC,Unknown,US-UT,27,Group-2,"Guru's, East Center Street, Downtown, Provo, Utah County, Utah, 84606, United States"
150,8/18/2020,9/1/2020,51576.74401,Natural,40.14235,-123.0594,CATGCC,Brush,US-CA,,,"Trinity County, California, United States"
152,8/6/2020,8/10/2020,4.86,Natural,44.4773,-118.8608,ORJDCC,Unknown,US-OR,4,Group-1,"Grant County, Oregon, United States"
153,10/18/2020,11/1/2020,10133.955,Unknown,36.27003,-105.3278,NMTDC,Unknown,US-NM,,,"Colfax County, New Mexico, United States"
157,6/14/2020,6/22/2020,4,Human,46.5407855,-108.3748779,MTNCA,Timber,US-MT,8,Group-1,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
159,8/30/2020,11/19/2020,26751.75554,Unknown,38.64249,-119.5275,NVSFC,Unknown,US-CA,81,Group-5,"El Camino Sierra, Mono County, California, United States"
163,8/19/2020,8/21/2020,4,Human,44.78692,-119.0711,ORJDCC,Unknown,US-OR,2,Group-1,"Long Creek-Pass Creek Road, Grant County, Oregon, United States"
167,3/9/2021,3/9/2021,0.1,Human,34.91935,-95.1033,ARAOC,Unknown,US-OK,0,Group-1,"Latimer County, Oklahoma, United States"
168,9/25/2020,10/9/2020,124.5232842,Unknown,41.03678,-107.5355,WYCPC,Grass-Shrub,US-WY,,,"McCarty Canyon Road, Dixon, Carbon County, Wyoming, United States"
170,8/8/2020,8/10/2020,4,Human,44.758333,-119.100556,ORJDCC,Unknown,US-OR,2,Group-1,"Volny Long Creek Airstrip, Pendleton-John Day Highway, Grant County, Oregon, United States"
173,1/29/2021,1/30/2021,16.5,Human,44.38801,-108.9772,WYCDC,Grass-Shrub,US-WY,1,Group-1,"WY 120, Dry Creek, Park County, Wyoming, 82433, United States"
174,6/16/2020,6/18/2020,4,Human,35.62577,-97.99472,ARAOC,Grass,US-OK,2,Group-1,"Black Kettle Boulevard, Concho, El Reno, Canadian County, Oklahoma, 73022, United States"
182,8/17/2020,8/20/2020,4,Natural,44.47685,-119.218,ORJDCC,Unknown,US-OR,3,Group-1,"Field Trail, Grant County, Oregon, United States"
183,4/20/2020,4/22/2020,0.025794,Human,42.10453,-112.9403,IDEIC,Grass-Shrub,US-ID,2,Group-1,"I 84, Oneida County, Idaho, United States"
186,7/5/2020,7/19/2020,5513.187585,Unknown,37.023934,-121.513722,CASCCC,Unknown,US-CA,,,"7465, Crews Road, Santa Clara County, California, 95020, United States"
187,11/9/2020,11/23/2020,0.1,Human,41.605278,-87.206389,INIIC,Timber,US-IN,,,"Stagecoach Road, Harbor Oaks, Portage, Porter County, Indiana, 46368, United States"
189,8/13/2020,10/1/2020,4119.202185,Human,34.15672,-117.9107,CALACC,Unknown,US-CA,49,Group-4,"1803, Morningside Court, Azusa, California, 91702, United States"
191,7/1/2020,7/9/2020,13.26789924,Human,32.64495,-111.3929,AZTDC,Unknown,US-AZ,8,Group-1,"Pinal County, Arizona, 85141, United States"
193,7/6/2020,7/20/2020,4,Human,45.22878,-120.72,ORCOC,Grass-Shrub,US-OR,,,"Sherman Highway, Kent, Sherman County, Oregon, United States"
194,9/28/2020,9/30/2020,4,Human,44.03513101,-103.0360372,SDGPC,Timber,US-SD,2,Group-1,"Pennington County, South Dakota, United States"
