OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group,Address,URLAddress,tempmax,tempmin,temp,humidity,precip,windspeed,pressure,visibility,solarradiation,conditions
127,10/18/2020,3/10/2021,562.9135044,Unknown,36.07114,-121.4505,CALPCC,Unknown,US-CA,143,Group-5,"Monterey County, California, United States",Monterey%20County%2C%20California%2C%20United%20States,66,49.9,58.8,67.29,0,12.7,1015.8,9.2,515.4,Clear
128,5/1/2020,5/15/2020,0.151680183,Unknown,39.55669,-119.5585,NVSFC,Grass,US-NV,,,"28, I 80, Patrick, Washoe County, Nevada, 89434, United States",28%2C%20I%2080%2C%20Patrick%2C%20Washoe%20County%2C%20Nevada%2C%2089434%2C%20United%20States,80.2,41.2,60.6,25.39,0,18.6,1015.5,9.9,510.1,Clear
129,8/8/2020,8/20/2020,0.3,Human,33.29384,-110.45,AZPHC,Grass-Shrub,US-AZ,12,Group-1,"2, West la Bamba, Graham County, Arizona, 85542, United States",2%2C%20West%20la%20Bamba%2C%20Graham%20County%2C%20Arizona%2C%2085542%2C%20United%20States,,,,,,,,,,
130,5/8/2020,5/26/2020,44.30051698,Human,35.87582,-115.2041,NVLIC,Grass-Shrub,US-NV,18,Group-2,"Clark County, Nevada, United States",Clark%20County%2C%20Nevada%2C%20United%20States,89.5,58.6,76.9,11.12,0,6.9,1011,9.9,482.7,Clear
133,8/21/2020,8/22/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,1,Group-1,"Pennington County, South Dakota, United States",Pennington%20County%2C%20South%20Dakota%2C%20United%20States,61.8,33.3,47.4,59.35,0.07,20.1,1017,9.8,336,"Rain, Partially cloudy"
136,3/7/2021,3/9/2021,0.93,Human,34.4559,-114.3719,AZPDC,Unknown,US-AZ,2,Group-1,"981, Beachcomber Boulevard, Lake Havasu City, Mohave County, Arizona, 86403, United States",981%2C%20Beachcomber%20Boulevard%2C%20Lake%20Havasu%20City%2C%20Mohave%20County%2C%20Arizona%2C%2086403%2C%20United%20States,95,67.2,82.3,9.98,0,14.6,1010.3,9.9,479.8,Clear
139,10/15/2020,12/3/2020,0.1,Human,33.336,-110.4686,AZPHC,Grass,US-AZ,49,Group-4,"Powerline Road, Gila County, Arizona, 85542, United States",Powerline%20Road%2C%20Gila%20County%2C%20Arizona%2C%2085542%2C%20United%20States,93.5,59.9,78.9,18.49,0,21,1010.1,9.8,460.7,Clear
141,12/24/2020,12/30/2020,1,Human,34.89249,-95.26115,ARAOC,Timber,US-OK,6,Group-1,"Blue Mountain Road, Latimer County, Oklahoma, 74578, United States",Blue%20Mountain%20Road%2C%20Latimer%20County%2C%20Oklahoma%2C%2074578%2C%20United%20States,63.3,50.3,59.2,85.96,0.14,13.5,1011.4,9.5,130,"Rain, Partially cloudy"
142,3/20/2021,4/16/2021,1,Human,34.60244,-98.68604,ARAOC,Grass,US-OK,27,Group-2,"991, Post Oak Road, Comanche County, Oklahoma, 73552, United States",991%2C%20Post%20Oak%20Road%2C%20Comanche%20County%2C%20Oklahoma%2C%2073552%2C%20United%20States,69.8,54.3,61.2,65.11,0.34,23.6,1014.1,9.9,497.7,"Rain, Partially cloudy"
144,8/27/2020,9/11/2020,0.8,Natural,46.14511,-114.0459,MTBRC,Grass-Shrub,US-MT,15,Group-2,"Ravalli County, Montana, United States",Ravalli%20County%2C%20Montana%2C%20United%20States,61.1,39.8,51.3,48.26,0.02,23,1018.1,9.9,268.5,"Rain, Partially cloudy"
