,humidity,windspeed,pressure,temp,conditions
15656,73.47,9.2,1004.1,50.5,3.0
11485,44.3,22.7,1014.0,68.4,1.0
21108,42.79,32.2,1009.7,72.4,2.0
11909,63.11,18.8,1013.3,58.3,2.0
5913,67.54,11.9,1010.9,68.1,1.0
3097,39.21,23.0,1009.1,56.8,1.0
17017,92.53,12.6,1014.6,53.9,3.0
18542,74.23,11.9,1015.3,73.2,2.0
8870,68.42,11.7,1014.1,70.1,1.0
5744,61.59,6.9,1011.1,68.6,1.0
9289,76.95,15.4,1018.1,84.4,3.0
9601,82.98,9.8,1010.6,41.1,2.0
7355,67.33,10.5,1024.7,66.1,1.0
5498,61.0,6.2,1020.9,76.1,3.0
3665,72.4,14.0,1020.1,41.1,1.0
14557,64.68,14.7,1016.7,42.9,3.0
2378,54.97,14.6,1026.6,35.8,3.0
16212,86.89,12.7,1013.1,66.4,2.0
17418,88.74,23.8,1015.1283048687221,41.9,6.0
17340,74.41,26.4,1009.7,61.3,2.0
14972,66.37,10.2,1017.3,78.5,3.0
20381,40.72,15.7,1019.7,45.8,3.0
17722,79.52,13.1,1014.8,51.1,2.0
5090,83.77,9.5,1016.0,65.5,3.0
18153,77.13,9.9,1022.2,70.0,3.0
18563,51.82,11.7,1009.6,69.5,1.0
8894,78.56,19.6,1015.1283048687221,52.5,2.0
511,59.35,20.1,1017.0,47.4,2.0
14869,65.63,5.4,1016.4,75.8,3.0
19549,88.54,21.1,1015.1283048687221,39.7,2.0
13426,88.36,10.7,1023.1,52.8,2.0
20667,89.53,11.2,1023.3,40.8,2.0
8585,42.55,13.2,1022.0,68.4,1.0
13361,75.89,10.3,989.5,32.3,3.0
1313,77.21,23.4,1014.2,57.8,2.0
8818,16.28,18.3,1005.5,79.7,1.0
2941,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
595,37.67,8.6,1012.2,73.9,1.0
9520,65.96,9.3,1017.2,65.4,3.0
16494,63.46,16.1,1009.7,74.7,3.0
13751,72.14,17.2,1022.4,72.2,1.0
11725,60.9,11.0,1022.0,55.4,1.0
1033,38.62,10.4,1010.7,51.9,3.0
21322,66.5,12.7,1020.6,61.1,3.0
6104,54.0,13.8,1015.7,57.6,3.0
3048,21.18,12.3,1023.0,54.3,1.0
13433,80.51,18.3,1016.1,75.7,2.0
7198,85.31,6.9,1019.8,78.5,2.0
19870,74.03,17.1,1018.5,47.9,1.0
20009,79.28,5.6,1016.6,69.8,2.0
17142,57.27,20.0,1012.1,31.0,7.0
5705,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
2887,81.73,15.5,1023.7,31.9,3.0
7949,77.61,18.6,1014.6,58.2,3.0
2697,71.13,5.8,1015.1283048687221,31.9,1.0
8489,66.24,7.0,1020.0,77.5,1.0
6518,49.72,15.7,1017.5,72.0,5.0
5648,69.77,22.1,1014.1,59.0,2.0
1052,19.93,13.9,1010.4,71.6,1.0
14094,70.44,8.8,1015.3,69.1,1.0
16770,66.16,4.5,1015.0,76.8,1.0
17277,22.29,10.2,1011.1,82.1,1.0
16361,48.76,10.7,1001.6,34.1,1.0
17922,55.37,14.0,1017.5,62.9,2.0
187,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
4938,32.71,13.0,1011.9,71.9,1.0
4880,40.22,26.4,1011.5,79.6,1.0
18255,65.53,14.2,1015.1283048687221,69.3,2.0
15407,39.2,11.9,1017.5,73.7,1.0
7552,15.98,17.7,1011.4,63.0,1.0
14287,68.1,5.9,1020.0,77.8,1.0
10731,82.54,13.0,1017.2,70.8,3.0
15748,34.58,16.0,1007.2,72.8,1.0
8011,70.89,12.6,1013.9,75.8,1.0
5611,62.6,19.0,1020.6,76.7,3.0
19223,44.82,20.0,1020.8,39.5,3.0
2444,83.01,11.4,1023.3,71.3,3.0
6885,48.32,28.4,1014.9,69.5,5.0
5145,75.7,6.3,1023.1,72.7,1.0
21097,83.11,7.6,1019.5,52.5,2.0
13994,70.56,15.5,1011.7,65.5,2.0
7490,55.36,13.2,1017.0,68.3,3.0
12917,53.08,12.9,1015.1283048687221,59.7,3.0
4976,80.06,14.6,1015.1283048687221,33.7,3.0
16330,58.48,13.7,1017.2,64.8,1.0
10685,73.17,12.1,1018.9,43.3,3.0
1566,87.34,14.4,991.2,44.5,2.0
21045,32.61,7.9,1018.4,79.1,1.0
11626,62.47,6.6,1015.1283048687221,59.1,2.0
18549,29.98,12.8,1015.1283048687221,52.8,1.0
14749,92.93,15.1,1015.1283048687221,75.3,2.0
4819,67.63,15.4,1008.0,36.7,2.0
4001,77.11,7.9,1013.6,73.9,1.0
15122,73.19,12.9,1013.1,72.8,1.0
1298,86.27,14.2,1011.5,59.1,2.0
6494,49.4,18.5,1008.3,68.6,5.0
14735,74.86,10.3,1015.1283048687221,67.8,3.0
20345,71.44,18.1,1019.7,60.5,1.0
14831,59.19,14.0,1022.6,68.4,1.0
17387,45.66,25.3,1005.7,46.5,2.0
6670,66.21,21.2,1012.0,69.9,5.0
9979,71.34,16.5,1012.2,71.8,5.0
18560,69.23,4.3,1009.9,78.1,5.0
14200,75.84,14.4,1016.5,73.8,2.0
10931,62.43,8.9,1022.3,49.9,1.0
1264,64.13,17.1,1016.9,43.3,3.0
10514,85.4,8.1,1015.1283048687221,42.0,2.0
710,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
8428,63.57,17.5,1015.2,43.8,2.0
1239,64.13,17.1,1016.9,43.3,3.0
10182,86.68,11.8,1010.6,64.8,2.0
19950,80.21,18.5,1025.1,33.3,8.0
1333,64.13,17.1,1016.9,43.3,3.0
5003,53.3,7.2,1035.7,20.0,1.0
3383,76.4,12.5,1011.3,76.2,2.0
10033,73.62,15.2,1021.0,64.1,2.0
425,45.62,9.8,1019.0,57.2,1.0
16219,71.16,12.4,1013.6,82.1,2.0
12333,62.2,9.6,1016.4,77.8,1.0
4432,52.38,15.0,1015.4,65.0,1.0
2744,71.6,17.9,1035.9,26.5,1.0
17001,70.7,14.8,1003.0,66.6,2.0
2998,48.35,12.8,1027.4,32.6,1.0
7524,65.18,8.1,1012.9,81.7,1.0
18959,71.35,9.2,1018.6,68.6,1.0
10450,65.68,8.1,1024.2,55.4,1.0
10590,70.7,21.9,1008.8,75.9,5.0
20774,72.63,4.7,1012.8,77.6,3.0
18712,42.14,17.4,1017.0,64.8,5.0
3760,30.95,17.1,1016.2,68.6,1.0
10568,57.7,13.2,1019.3,60.1,1.0
5220,42.46,20.9,1013.5,61.4,1.0
15234,60.73,11.4,1018.8,46.9,2.0
192,10.28,7.2,1011.4,77.6,1.0
14867,48.43,17.6,1012.5,54.3,2.0
6074,34.05,12.8,1012.1,74.8,1.0
3617,36.73,17.8,1013.2,64.6,1.0
12358,50.64,10.1,1010.7,74.2,1.0
15933,60.2,11.7,1017.5,68.3,2.0
5309,37.7,14.7,1024.8,56.3,3.0
17046,60.32,19.0,1011.8,87.1,1.0
19028,74.13,15.6,1011.0,36.7,1.0
1336,64.13,17.1,1016.9,43.3,3.0
1153,43.55,17.2,1016.4,51.6,3.0
19245,82.84,17.4,1010.3,62.1,2.0
4928,75.28,11.3,1015.6,84.4,3.0
15967,68.22,10.1,1018.1,52.6,2.0
530,94.76,17.7,1011.3,55.2,2.0
15289,66.12,13.5,1015.5,67.4,1.0
5195,24.01,12.1,1022.4,48.3,1.0
11907,79.93,12.1,1013.4,86.0,1.0
8138,60.53,10.5,1012.6,66.5,1.0
